1,BA1
2,BA2
3,BA3
4,BA4
5,BA5
6,BA6
7,BA7
8,BA8
9,BA9
10,BA10
11,BA11
12,BA12
13,BA13
14,BA14
15,BA15
16,BA16
17,BA17
18,BA18
19,BA19
20,BA20
21,BA21
22,BA22
23,BA23
24,BA24
25,BA25
26,BA26
27,BA27
28,BA28
29,BA29
30,BA30
31,BA31
32,BA32
33,BA33
34,BA34
35,BA35
36,BA36
37,BA37
38,BA38
39,BA39
40,BA40
41,BA41
42,BA42
43,BA43
44,BA44
45,BA45
46,BA46
47,BA47
103,Amygdala
117,Anterior Commissure
125,Caudate Body
115,Caudate Head
108,Caudate Tail
118,Corpus Callosum
101,Dentate
102,Hippocampus
105,Hypothalamus
127,Lateral Dorsal Nucleus
116,Lateral Geniculum Body
112,Lateral Globus Pallidus
126,Lateral Posterior Nucleus
109,Mammillary Body
122,Medial Dorsal Nucleus
111,Medial Geniculum Body
114,Medial Globus Pallidus
128,Midline Nucleus
104,Optic Tract
119,Pulvinar
110,Putamen
107,Red Nucleus
106,Substania Nigra
113,Subthalamic Nucleus
124,Ventral Anterior Nucleus
123,Ventral Lateral Nucleus
120,Ventral Posterior Lateral Nucleus
121,Ventral Posterior Medial Nucleus
