1,Precentral L
2,Precentral R
3,Frontal Sup L
4,Frontal Sup R
5,Frontal Sup Orb L
6,Frontal Sup Orb R
7,Frontal Mid L
8,Frontal Mid R
9,Frontal Mid Orb L
10,Frontal Mid Orb R
11,Frontal Inf Oper L
12,Frontal Inf Oper R
13,Frontal Inf Tri L
14,Frontal Inf Tri R
15,Frontal Inf Orb L
16,Frontal Inf Orb R
17,Rolandic Oper L
18,Rolandic Oper R
19,Supp Motor Area L
20,Supp Motor Area R
21,Olfactory L
22,Olfactory R
23,Frontal Sup Medial L
24,Frontal Sup Medial R
25,Frontal Mid Orb L
26,Frontal Mid Orb R
27,Rectus L
28,Rectus R
29,Insula L
30,Insula R
31,Cingulum Ant L
32,Cingulum Ant R
33,Cingulum Mid L
34,Cingulum Mid R
35,Cingulum Post L
36,Cingulum Post R
37,Hippocampus L
38,Hippocampus R
39,ParaHippocampal L
40,ParaHippocampal R
41,Amygdala L
42,Amygdala R
43,Calcarine L
44,Calcarine R
45,Cuneus L
46,Cuneus R
47,Lingual L
48,Lingual R
49,Occipital Sup L
50,Occipital Sup R
51,Occipital Mid L
52,Occipital Mid R
53,Occipital Inf L
54,Occipital Inf R
55,Fusiform L
56,Fusiform R
57,Postcentral L
58,Postcentral R
59,Parietal Sup L
60,Parietal Sup R
61,Parietal Inf L
62,Parietal Inf R
63,SupraMarginal L
64,SupraMarginal R
65,Angular L
66,Angular R
67,Precuneus L
68,Precuneus R
69,Paracentral Lobule L
70,Paracentral Lobule R
71,Caudate L
72,Caudate R
73,Putamen L
74,Putamen R
75,Pallidum L
76,Pallidum R
77,Thalamus L
78,Thalamus R
79,Heschl L
80,Heschl R
81,Temporal Sup L
82,Temporal Sup R
83,Temporal Pole Sup L
84,Temporal Pole Sup R
85,Temporal Mid L
86,Temporal Mid R
87,Temporal Pole Mid L
88,Temporal Pole Mid R
89,Temporal Inf L
90,Temporal Inf R
91,Cerebelum Crus1 L
92,Cerebelum Crus1 R
93,Cerebelum Crus2 L
94,Cerebelum Crus2 R
95,Cerebelum 3 L
96,Cerebelum 3 R
97,Cerebelum 4 5 L
98,Cerebelum 4 5 R
99,Cerebelum 6 L
100,Cerebelum 6 R
101,Cerebelum 7b L
102,Cerebelum 7b R
103,Cerebelum 8 L
104,Cerebelum 8 R
105,Cerebelum 9 L
106,Cerebelum 9 R
107,Cerebelum 10 L
108,Cerebelum 10 R
109,Vermis 1 2
110,Vermis 3
111,Vermis 4 5
112,Vermis 6
113,Vermis 7
114,Vermis 8
115,Vermis 9
116,Vermis 10
